Account Name,License Name,License Creation Date,License Expiry Date,License Class,Attribute Type,Cluster Name,License Type,License Status,Entitled Quantity,Reserved Quantity,Quantity Used by Cluster,Total Quantity Used,Unused Quantity,Cluster UUID,Cluster Tag,Managing PC Name,Managing PC UUID,SW Asset Serial Number,Node Count,Licenses Sales Order,Block Count,Support Start Date,Support Level,Is Invalid License,Product,License Asset Model,License SKU,Reserved Quantity on AWS,Purchased Quantity,Cluster Core Capacity,Cluster Flash Capacity (TiB),Cluster Flash Capacity (TB),Powered-On User VM Count,AOS Version,Last Pulse,PE Cluster Names,PE Cluster UUIDs,Account Type,Account ID,Theater,Region,Sub-Region,License Tag,License Tag (Internal),License File Name,License File Creation Date,Last Sales,Resale,Renewable,Reserved Quantity on Azure,Is Seamlessly Licensed
"Inter Pipeline Fund","LIC-01461088","2022-11-04","2028-11-01","software_only","CORES","ipl-nutanixcls01","NCI Pro","Activated","48.00","0.0","48.00","48.00","0.00","000609c1-da9d-95fc-6e97-7cc25581f0d1","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","22SW000262804",4,"SO-142594",2,"2022-11-03","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",48.0,"192.0","55.85 TiB","61.44 TB","71","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02424425","2023-09-18","2026-09-17","software_only","CORES","iplsp-nutanixcls01","NCI Pro","Activated","192.00","0.0","16.00","192.00","0.00","00060e87-b089-acec-47b7-00e0ededb161","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000309914",2,"SO-166415",2,"2023-09-18","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",192.0,"16.0","6.98 TiB","7.68 TB","5","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02424425","2023-09-18","2026-09-17","software_only","CORES","iplp1-nutanixcls01","NCI Pro","Activated","192.00","0.0","32.00","192.00","0.00","00060e9b-e7e5-e852-5e9a-00e0ededd6a6","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000309914",2,"SO-166415",2,"2023-09-18","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",192.0,"32.0","6.98 TiB","7.68 TB","7","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02424425","2023-09-18","2026-09-17","software_only","CORES","ipl-nutanixcls01","NCI Pro","Activated","192.00","0.0","144.00","192.00","0.00","000609c1-da9d-95fc-6e97-7cc25581f0d1","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000309914",4,"SO-166415",2,"2023-09-18","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",192.0,"192.0","55.85 TiB","61.44 TB","71","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02424426","2023-09-18","2026-09-17","software_only","CORES","ipl-nutanixcls01","NCI Advanced Replication","Activated","192.00","0.0","192.00","192.00","0.00","000609c1-da9d-95fc-6e97-7cc25581f0d1","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000309915",4,"SO-166415",2,"2023-09-18","Production",False,"NCI Advanced Replication","Not Applicable","SWA-NCI-ADR-PR","0",192.0,"192.0","55.85 TiB","61.44 TB","71","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02424427","2023-09-18","2026-09-17","software_only","TIB","iplp2-nutanixcls01","NUS Pro","Available","72.00","0.0","0.00","43.00","29.00","00060f8d-51ce-5480-7165-7cc255072a2e","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000309916",3,"SO-166415",1,"2023-09-18","Production",False,"NUS","Not Applicable","SW-NUS-PRO-PR","0",72.0,"48.0","10.47 TiB","11.52 TB","8","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02424427","2023-09-18","2026-09-17","software_only","TIB","ipl-nutanixcls01","NUS Pro","Available","72.00","0.0","0.00","43.00","29.00","000609c1-da9d-95fc-6e97-7cc25581f0d1","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000309916",4,"SO-166415",2,"2023-09-18","Production",False,"NUS","Not Applicable","SW-NUS-PRO-PR","0",72.0,"192.0","55.85 TiB","61.44 TB","71","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02424427","2023-09-18","2026-09-17","software_only","TIB","iplsp-nutanixcls01","NUS Pro","Available","72.00","0.0","0.00","43.00","29.00","00060e87-b089-acec-47b7-00e0ededb161","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000309916",2,"SO-166415",2,"2023-09-18","Production",False,"NUS","Not Applicable","SW-NUS-PRO-PR","0",72.0,"16.0","6.98 TiB","7.68 TB","5","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02424427","2023-09-18","2026-09-17","software_only","TIB","iplp1-nutanixcls01","NUS Pro","Available","72.00","0.0","0.00","43.00","29.00","00060e9b-e7e5-e852-5e9a-00e0ededd6a6","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000309916",2,"SO-166415",2,"2023-09-18","Production",False,"NUS","Not Applicable","SW-NUS-PRO-PR","0",72.0,"32.0","6.98 TiB","7.68 TB","7","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02424427","2023-09-18","2026-09-17","software_only","TIB","Unnamed","NUS Pro","Available","72.00","0.0","43.00","43.00","29.00","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","-","Not Applicable","Not Applicable","23SW000309916",0,"SO-166415",-,"2023-09-18","Production",False,"NUS","Not Applicable","SW-NUS-PRO-PR","0",72.0,"0.0","0","0","0","2024.2.0.6","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","LF-12352196","2025-10-15","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02437986","2023-12-01","2026-11-29","software_only","CORES","iplp2-nutanixcls01","NCI Pro","Activated","32.00","0.0","32.00","32.00","0.00","00060f8d-51ce-5480-7165-7cc255072a2e","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000321435",3,"SO-171863",1,"2023-11-30","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",32.0,"48.0","10.47 TiB","11.52 TB","8","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02441599","2023-12-26","2026-12-25","software_only","CORES","iplp2-nutanixcls01","NCI Pro","Activated","16.00","0.0","16.00","16.00","0.00","00060f8d-51ce-5480-7165-7cc255072a2e","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","23SW000325102",3,"SO-173697",1,"2023-12-26","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",16.0,"48.0","10.47 TiB","11.52 TB","8","6.10.1.5","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02493460","2024-09-26","2027-09-25","software_only","CORES","Not Found","NCI Pro","Activated","108.00","108.0","0.00","0.00","0.00","Not Found","-","Not Applicable","Not Applicable","24SW000375405",0,"SO-193683",-,"2024-09-26","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",108.0,"0.0","-","-","0","-","Not Found","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","108.0","-"
"Inter Pipeline Fund","LIC-02493461","2024-09-26","2027-09-25","software_only","CORES","Not Found","NCI Advanced Replication","Available","108.00","0.0","0.00","0.00","108.00","Not Found","-","Not Applicable","Not Applicable","24SW000375406",0,"SO-193683",-,"2024-09-26","Production",False,"NCI Advanced Replication","Not Applicable","SWA-NCI-ADR-PR","0",108.0,"0.0","-","-","0","-","Not Found","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","-"
"Inter Pipeline Fund","LIC-02502334","2024-11-15","2027-11-14","software_only","CORES","iplhpc-nutanixcls01","NCI Pro","Activated","80.00","0.0","80.00","80.00","0.00","00062b22-51fd-bd09-3dc3-7cc255815dc7","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","24SW000385776",4,"SO-196877",2,"2024-11-15","Production",False,"NCI","Not Applicable","SW-NCI-PRO-PR","0",80.0,"80.0","27.93 TiB","30.72 TB","92","6.10","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
"Inter Pipeline Fund","LIC-02504265","2024-11-30","2027-11-28","software_only","CORES","Not Found","NCI Advanced Replication","Available","176.00","0.0","0.00","0.00","176.00","Not Found","-","Not Applicable","Not Applicable","24SW000388377",0,"SO-198696",-,"2024-11-29","Production",False,"NCI Advanced Replication","Not Applicable","SWA-NCI-ADR-PR","0",176.0,"0.0","-","-","0","-","Not Found","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","-"
"Inter Pipeline Fund","LIC-02508757","2024-12-31","2027-12-30","software_only","VM","iplrw-nutanixcls01","NCI Edge Ultimate","Activated","8.00","0.0","8.00","8.00","0.00","00062bb0-c88d-f6ed-39fb-7cc255e9ad65","-","Unnamed","d56b638c-9b2c-4dae-b7d2-e057d9cbeb7c","24SW000394904",2,"SO-198739",2,"2024-12-31","Production",False,"NCI Edge","Not Applicable","SW-NCI-E-ULT-PR","0",8.0,"24.0","0","0","5","6.10","2025-10-23","-","-","Customer","00160000010uOSBAA2",Americas,Americas North Enterprise & Canada,Canada Enterprise/Comm West,"Not Found","-","Not Found","-","2025-01-19","For Resale","Renewable","0","FALSE"
